epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
8,3.699800014,0.088292703,0.088292703,3.640138149,0.135303363,0.135303363
9,3.714592218,0.086802423,0.086802423,3.679347277,0.131749108,0.131749108
10,3.737364531,0.086613223,0.086613223,3.71581459,0.132908687,0.132908687
11,3.722362757,0.08678855,0.08678855,3.61608696,0.137531012,0.137531012
12,3.722196579,0.086657189,0.086657189,3.692890882,0.131636515,0.131636515
13,3.722792149,0.085932218,0.085932218,3.671858549,0.134423703,0.134423703
14,3.742966413,0.085994661,0.085994661,3.622227907,0.131523281,0.131523281
15,3.749441862,0.086022615,0.086022615,3.65994525,0.131768361,0.131768361
16,3.764623404,0.084954023,0.084954023,3.652138233,0.129798204,0.129798204
17,3.782534838,0.084295727,0.084295727,3.710262299,0.134632364,0.134632364
18,3.789102793,0.083477534,0.083477534,3.689700365,0.131052673,0.131052673
19,3.802848816,0.083175123,0.083175123,3.703988552,0.125853151,0.125853151
20,3.782800198,0.082665056,0.082665056,3.750704527,0.13032195,0.13032195
21,3.806072474,0.083498009,0.083498009,3.668220043,0.130258441,0.130258441
22,3.808095455,0.082573369,0.082573369,3.680592775,0.132441759,0.132441759
23,3.807192802,0.082356632,0.082356632,3.700364351,0.125772402,0.125772402
24,3.820745945,0.08201085,0.08201085,3.70387125,0.132458717,0.132458717
25,3.81875205,0.082333803,0.082333803,3.781395435,0.126253441,0.126253441
26,3.850133896,0.080835,0.080835,3.67856288,0.124996029,0.124996029
27,3.849080801,0.080139339,0.080139339,3.780864716,0.130324051,0.130324051
28,3.847899199,0.080648758,0.080648758,3.708094835,0.129961938,0.129961938
29,3.853941679,0.080884002,0.080884002,3.744428158,0.126090035,0.126090035
30,3.865664721,0.080281168,0.080281168,3.732812881,0.129239857,0.129239857
31,3.868613243,0.079911448,0.079911448,3.764439821,0.128654197,0.128654197
32,3.886028528,0.078877322,0.078877322,3.746118546,0.12733613,0.12733613
33,3.902853727,0.078955129,0.078955129,3.770599365,0.126635298,0.126635298
34,3.899722338,0.078446932,0.078446932,3.8084023,0.129566506,0.129566506
35,3.89022541,0.079000995,0.079000995,3.758518934,0.130193099,0.130193099
36,3.905390978,0.077683829,0.077683829,3.793076038,0.121405855,0.121405855
37,3.910791397,0.077559426,0.077559426,3.78245306,0.121222652,0.121222652
38,3.899675608,0.077327706,0.077327706,3.789070845,0.126502991,0.126502991
39,3.913802147,0.077310182,0.077310182,3.807820082,0.123909734,0.123909734
40,3.927596331,0.076814771,0.076814771,3.824256897,0.119326912,0.119326912
41,3.926439285,0.076395601,0.076395601,3.763442278,0.128844514,0.128844514
42,3.910093784,0.077154428,0.077154428,3.821636677,0.124318972,0.124318972
43,3.988218784,0.075673044,0.075673044,3.816363573,0.12178196,0.12178196
44,3.965591192,0.075777799,0.075777799,3.87742424,0.127497032,0.127497032
45,3.97443676,0.074413836,0.074413836,3.834635496,0.125365183,0.125365183
46,3.959162235,0.07431417,0.07431417,3.808396816,0.124232098,0.124232098
47,3.958044767,0.074776381,0.074776381,3.845536709,0.123490885,0.123490885
48,3.972441912,0.074995361,0.074995361,3.832581997,0.117839836,0.117839836
49,4.001848221,0.073569193,0.073569193,3.856561184,0.117909327,0.117909327
50,3.9738276,0.074448273,0.074448273,3.923172474,0.127456829,0.127456829
51,3.98100853,0.073329397,0.073329397,3.873649597,0.125735343,0.125735343
52,3.987912178,0.073456563,0.073456563,3.901290894,0.123069778,0.123069778
53,4.011054993,0.073256366,0.073256366,3.827451706,0.126055032,0.126055032
54,4.030189037,0.0738663,0.0738663,3.896582842,0.123078778,0.123078778
55,4.009142876,0.072966725,0.072966725,3.849870205,0.127919525,0.127919525
56,4.009749413,0.073014662,0.073014662,3.889991045,0.124608949,0.124608949
57,4.003915787,0.072948597,0.072948597,3.911605358,0.120273136,0.120273136
58,4.039110184,0.072397299,0.072397299,3.911717892,0.125155672,0.125155672
59,4.043181896,0.071395911,0.071395911,3.916637421,0.125484958,0.125484958
60,4.045109749,0.071044989,0.071044989,3.908098698,0.123543523,0.123543523
61,4.06489706,0.071689002,0.071689002,3.806963444,0.122014783,0.122014783
62,4.065855026,0.070733592,0.070733592,3.907344818,0.115541592,0.115541592
63,4.057282925,0.07146135,0.07146135,3.890601635,0.124850236,0.124850236
64,4.063889027,0.070892505,0.070892505,3.912426472,0.12239337,0.12239337
65,4.0607481,0.071491398,0.071491398,3.904443026,0.1226836,0.1226836
66,4.074700832,0.070727997,0.070727997,3.947547913,0.119584583,0.119584583
67,4.075352669,0.069750316,0.069750316,3.858917952,0.122052826,0.122052826
68,4.094000816,0.068871282,0.068871282,3.924404621,0.117077664,0.117077664
69,4.103201389,0.06907779,0.06907779,3.953577757,0.121238865,0.121238865
70,4.126245975,0.067855261,0.067855261,3.93954587,0.123803519,0.123803519
71,4.136996269,0.069113031,0.069113031,3.984326839,0.118339323,0.118339323
72,4.128637791,0.068377838,0.068377838,3.9406147,0.127075419,0.127075419
73,4.133039474,0.067959115,0.067959115,3.980926514,0.120683871,0.120683871
74,4.141677856,0.068326384,0.068326384,4.048498631,0.122060105,0.122060105
75,4.140707016,0.068063527,0.068063527,3.996899843,0.119773366,0.119773366
76,4.165408134,0.066728771,0.066728771,3.951258421,0.115570463,0.115570463
77,4.107986927,0.068838276,0.068838276,4.054684639,0.119566485,0.119566485
78,4.136690617,0.06709636,0.06709636,4.031907082,0.114494815,0.114494815
79,4.162217617,0.066790178,0.066790178,4.050326347,0.117545821,0.117545821
80,4.198191166,0.065996245,0.065996245,4.055583,0.117429815,0.117429815
81,4.171317577,0.066930547,0.066930547,3.978806257,0.122058548,0.122058548
82,4.183189392,0.066393584,0.066393584,3.977656126,0.119157508,0.119157508
83,4.172680855,0.066557936,0.066557936,4.018722534,0.117781565,0.117781565
84,4.146718025,0.067178249,0.067178249,4.068780422,0.11471945,0.11471945
